TOWNSHIP_RANGE,YEAR,lower,mid,upper
T21S R22E,2021,227.79959,256.695,303.87473
T21S R23E,2021,162.1005,243.437,298.151
T21S R24E,2021,165.24794,267.06665,318.20956
T21S R25E,2021,78.833336,196.73962,248.19965
T21S R26E,2021,100.70357,129.46024,205.16779
T21S R27E,2021,91.74629,109.63286,235.34457
T21S R28E,2021,75.667496,115.34286,244.33328
T22S R16E,2021,148.29333,294.02335,440.055
T22S R17E,2021,148.29333,271.3222,433.3025
T22S R18E,2021,191.35167,253.63834,335.53665
T22S R19E,2021,272.67334,302.5281,440.055
T22S R20E,2021,238.08615,255.91833,306.88666
T22S R21E,2021,240.61667,298.22,393.41415
T22S R22E,2021,233.11667,258.6275,315.9503
T22S R23E,2021,222.91167,248.75854,288.4836
T22S R24E,2021,164.4805,183.602,304.82745
T22S R25E,2021,200.47437,218.89091,267.48944
T22S R26E,2021,205.12575,223.6141,280.87875
T22S R27E,2021,118.35284,179.91682,234.91922
T22S R28E,2021,82.361534,118.295296,242.33685
T22S R29E,2021,69.475,102.94846,211.74
T23S R17E,2021,231.91667,290.41522,556.2
T23S R18E,2021,212.55002,236.13745,440.24994
T23S R19E,2021,202.95601,217.85834,278.0
T23S R20E,2021,198.50807,230.435,400.44144
T23S R21E,2021,230.63887,278.72922,541.6508
T23S R22E,2021,165.12857,330.995,556.2
T23S R23E,2021,163.70857,205.78032,367.64923
T23S R24E,2021,161.9175,207.93343,278.13193
T23S R25E,2021,142.96,203.32445,268.491
T23S R26E,2021,225.44,306.105,534.3762
T23S R27E,2021,220.0194,269.26868,479.41907
T23S R28E,2021,95.9,310.42996,341.43668
T24S R17E,2021,152.90031,172.34697,189.54297
T24S R18E,2021,117.61984,151.52844,182.495
T24S R19E,2021,82.035416,113.175964,211.74
T24S R20E,2021,108.41531,137.36201,191.6178
T24S R21E,2021,180.37321,211.16333,237.31
T24S R22E,2021,115.0142,255.16913,288.48123
T24S R23E,2021,167.87143,236.32666,302.91122
T24S R24E,2021,146.57191,221.94272,271.806
T24S R25E,2021,108.09949,206.25317,247.81786
T24S R26E,2021,184.24333,311.72974,351.54166
T24S R27E,2021,269.46664,410.84686,450.66748
T24S R28E,2021,366.84164,429.84903,434.45557
T25S R17E,2021,101.61877,146.95917,171.4061
T25S R18E,2021,101.60801,123.59846,166.525
T25S R19E,2021,56.996113,98.77917,211.74
T25S R20E,2021,78.0125,106.86,166.25
T25S R21E,2021,153.85239,192.71208,290.37305
T25S R22E,2021,208.04272,268.52307,501.24283
T25S R23E,2021,246.09067,316.44067,459.2166
T25S R24E,2021,197.11699,255.58266,383.01736
T25S R25E,2021,244.499,275.77777,286.85748
T25S R26E,2021,258.024,307.42358,325.47845
T25S R27E,2021,198.4,407.30145,515.5531
T25S R28E,2021,255.24165,534.72,646.48334
T26S R17E,2021,85.30853,130.78333,163.41222
T26S R18E,2021,19.0,58.39261,121.29166
T26S R19E,2021,56.345192,74.71,116.95725
T26S R20E,2021,61.35,108.02208,177.08417
T26S R21E,2021,101.12454,141.60031,173.65642
T26S R22E,2021,113.1725,170.48276,217.39822
T26S R23E,2021,85.1,255.724,556.2
T26S R24E,2021,149.095,233.95958,556.2
T26S R25E,2021,208.94354,262.33777,331.86667
T26S R26E,2021,391.8775,437.675,492.4841
T26S R27E,2021,229.05554,594.98737,646.48334
T26S R28E,2021,229.05554,650.69446,727.5
T27S R18E,2021,48.35,60.75,121.29166
T27S R19E,2021,58.0,163.8425,228.22083
T27S R20E,2021,65.4525,119.8,147.25082
T27S R21E,2021,100.0365,177.08417,245.2
T27S R22E,2021,92.30125,179.272,243.20332
T27S R23E,2021,241.45866,262.71375,413.15497
T27S R24E,2021,94.37135,267.40002,340.56
T27S R25E,2021,94.37135,267.40002,340.56
T27S R26E,2021,19.07,171.81476,353.4504
T27S R27E,2021,229.05554,560.4818,651.27496
T27S R28E,2021,82.435,163.41516,403.3462
T28S R19E,2021,88.46125,126.05,205.16779
T28S R20E,2021,69.52963,126.68309,239.59808
T28S R21E,2021,69.52963,134.36,239.59808
T28S R22E,2021,81.86465,121.90666,167.5296
T28S R23E,2021,191.76126,209.62326,286.7525
T28S R24E,2021,158.01833,298.945,341.2175
T28S R25E,2021,168.5875,313.30002,449.47495
T28S R26E,2021,120.85,302.00266,437.8653
T28S R27E,2021,148.29333,306.9815,408.53204
T28S R28E,2021,206.63571,230.42,263.705
T28S R29E,2021,91.75,115.58588,146.44615
T28S R30E,2021,20.5,31.077084,41.543602
T29S R20E,2021,69.25,105.86517,337.86667
T29S R21E,2021,37.345196,42.834583,73.52857
T29S R22E,2021,52.39656,60.92857,87.60725
T29S R23E,2021,135.03369,163.48222,189.88998
T29S R24E,2021,152.0658,168.47144,209.13275
T29S R25E,2021,100.36131,139.99129,166.51111
T29S R26E,2021,97.572815,124.72136,151.01054
T29S R27E,2021,97.43036,120.14822,132.03891
T29S R28E,2021,109.2254,167.08994,194.95818
T29S R29E,2021,134.08466,198.54039,217.69014
T29S R30E,2021,171.14148,199.35,213.76945
T30S R20E,2021,11.213333,28.577084,227.79999
T30S R21E,2021,59.860497,110.49167,140.26334
T30S R22E,2021,81.10833,106.3425,172.86998
T30S R23E,2021,126.61492,179.06,206.00917
T30S R24E,2021,128.691,167.45863,219.92374
T30S R25E,2021,86.118416,92.55556,144.14304
T30S R26E,2021,72.90417,113.254,141.3032
T30S R27E,2021,119.739,172.35231,193.59117
T30S R28E,2021,163.07422,212.75531,241.805
T30S R29E,2021,187.8375,343.446,533.475
T30S R30E,2021,177.73,343.446,533.475
T30S R31E,2021,198.332,330.39667,556.2
T30S R32E,2021,310.0625,404.9,559.25
T31S R21E,2021,83.04613,108.74962,211.74
T31S R22E,2021,109.2254,181.662,205.07687
T31S R23E,2021,143.8403,171.56227,204.93239
T31S R24E,2021,102.19887,128.14166,182.47852
T31S R25E,2021,101.61877,128.63167,160.57832
T31S R26E,2021,103.80538,171.85,188.87466
T31S R27E,2021,167.16,183.51154,245.42502
T31S R28E,2021,154.63286,175.681,218.51054
T31S R29E,2021,248.03429,329.09644,358.275
T31S R30E,2021,358.91934,377.45264,444.875
T31S R31E,2021,323.225,397.29498,462.86108
T32S R22E,2021,145.98842,185.21213,201.12677
T32S R23E,2021,172.52095,187.63637,201.12677
T32S R24E,2021,118.656815,148.48581,184.58846
T32S R25E,2021,88.856636,144.63354,189.49083
T32S R26E,2021,142.483,207.11029,237.8
T32S R27E,2021,58.366665,104.994995,151.94623
T32S R28E,2021,176.47961,215.77222,357.92023
T32S R29E,2021,300.285,361.29956,445.40668
T32S R30E,2021,387.53333,405.23752,446.9
